scenario,scenario_label,run,seed,encountered_unique_issues,raw_reports,accepted_contributions,invalid_reports,merged_duplicates,unmerged_duplicates,workorders,emergency_referrals,effective_report_rate,duplicate_or_invalid_rate,dispatch_accuracy,mean_resolution_hours,mean_submission_minutes,participation_gap_pp,rider_participation_rate,driver_participation_rate,issue_coverage_rate,resolution_rate,late_period_participation_rate
S0,现状基准,12,20260914,987,271,146,118,1,7,152,7,0.5387453874538746,0.4612546125461255,0.7368421052631579,52.03943432189512,7.974619258609252,1.073467206688007,0.1148577449947313,0.12559241706161137,0.1469098277608916,0.7894736842105263,0.12048192771084337
S1,AI 上报,12,20260914,987,660,491,147,70,22,443,15,0.7439393939393939,0.25606060606060604,0.8465011286681715,32.186021643083585,2.9625313731438245,3.490828459990314,0.29083245521601686,0.2559241706161137,0.4265450861195542,0.835214446952596,0.27882960413080893
S2,AI 上报加透明反馈,12,20260914,987,905,614,230,109,61,566,17,0.6784530386740332,0.32154696132596683,0.8445229681978799,27.045254699318004,2.994523407481468,3.0750752850343845,0.39567966280295047,0.36492890995260663,0.5116514690982776,0.8780918727915195,0.3769363166953528
S3,AI 上报加透明反馈加差异化激励,12,20260914,987,1079,755,255,182,69,642,20,0.6997219647822057,0.3002780352177943,0.8613707165109035,26.165930584077877,2.981718599514184,3.6883424307951995,0.458377239199157,0.495260663507109,0.5805471124620061,0.8551401869158879,0.4819277108433735
S0,现状基准,13,20260914,999,311,174,129,2,8,180,8,0.5594855305466238,0.4405144694533762,0.65,48.915076668678054,8.031318348476708,0.4149764228637026,0.1287292817679558,0.13287904599659284,0.17217217217217218,0.7944444444444444,0.12931034482758622
S1,AI 上报,13,20260914,999,721,529,166,85,26,470,19,0.7337031900138696,0.26629680998613037,0.8468085106382979,33.16833685899567,2.9955075607421517,1.9323839731945347,0.305524861878453,0.28620102214650767,0.4444444444444444,0.8319148936170213,0.2913793103448276
S2,AI 上报加透明反馈,13,20260914,999,978,722,227,174,29,577,21,0.7382413087934561,0.261758691206544,0.8613518197573656,26.98009026357195,2.9827379192394248,2.369290427023818,0.4138121546961326,0.3901192504258944,0.5485485485485485,0.9046793760831889,0.4413793103448276
S3,AI 上报加透明反馈加差异化激励,13,20260914,999,1194,833,274,207,87,713,32,0.6976549413735343,0.30234505862646566,0.8569424964936886,27.490053887427976,2.999596373821475,0.7666098807495747,0.5,0.49233390119250425,0.6266266266266266,0.8597475455820477,0.4827586206896552
S0,现状基准,14,20260914,991,292,159,123,1,10,168,8,0.5445205479452054,0.4554794520547945,0.6547619047619048,52.93508988396522,8.041447465940838,2.1218934675766548,0.13156376226197344,0.1103448275862069,0.15943491422805248,0.7976190476190477,0.1271186440677966
S1,AI 上报,14,20260914,991,707,505,171,64,31,472,23,0.7142857142857143,0.2857142857142857,0.8220338983050848,32.58680145723333,2.9962762092781476,2.59685217979585,0.31217541834968265,0.28620689655172415,0.4450050454086781,0.8114406779661016,0.3050847457627119
S2,AI 上报加透明反馈,14,20260914,991,956,700,220,166,36,570,28,0.7322175732217573,0.26778242677824265,0.8666666666666667,26.796039635956287,3.0084881007728046,0.39656167300077816,0.41431044431621467,0.4103448275862069,0.5388496468213926,0.8456140350877193,0.40508474576271186
S3,AI 上报加透明反馈加差异化激励,14,20260914,991,1077,742,275,179,60,623,32,0.6889507892293407,0.3110492107706592,0.8523274478330658,26.746806458622306,3.0048678362194003,1.1655092822890345,0.4685516445470283,0.45689655172413796,0.5681130171543896,0.8507223113964687,0.5033898305084745
S0,现状基准,15,20260914,987,298,158,128,2,12,168,7,0.5302013422818792,0.4697986577181208,0.6309523809523809,52.20212403821887,7.972060136118601,2.3511529664379416,0.13231981981981983,0.10880829015544041,0.1580547112462006,0.7678571428571429,0.12310286677908938
S1,AI 上报,15,20260914,987,653,450,167,66,36,420,28,0.6891271056661562,0.3108728943338438,0.8714285714285714,32.54691374526981,2.985775995682665,3.1023899547215574,0.2849099099099099,0.2538860103626943,0.3890577507598784,0.8261904761904761,0.27318718381112983
S2,AI 上报加透明反馈,15,20260914,987,915,649,219,137,47,559,34,0.7092896174863388,0.2907103825136612,0.8389982110912343,27.20121665126214,2.964620493021001,4.113569528077299,0.39864864864864863,0.35751295336787564,0.5187436676798379,0.8443649373881932,0.37099494097807756
S3,AI 上报加透明反馈加差异化激励,15,20260914,987,1091,779,258,178,54,655,30,0.7140238313473877,0.2859761686526123,0.8106870229007633,26.887717206676964,2.9931314493323837,0.28240675909069757,0.46396396396396394,0.46113989637305697,0.6089159067882473,0.8351145038167939,0.49409780775716694
S0,现状基准,16,20260914,976,285,152,125,2,8,158,10,0.5333333333333333,0.4666666666666667,0.6329113924050633,51.68264937691077,8.077968145240273,1.5822784810126582,0.12341772151898735,0.10759493670886076,0.15368852459016394,0.8291139240506329,0.11308562197092084
S1,AI 上报,16,20260914,976,661,479,160,86,22,415,20,0.7246596066565809,0.2753403933434191,0.8506024096385543,32.47603000356148,2.9762458943576604,2.0569620253164556,0.274789029535865,0.29535864978902954,0.4026639344262295,0.8361445783132531,0.284329563812601
S2,AI 上报加透明反馈,16,20260914,976,965,678,241,170,46,554,27,0.7025906735751295,0.29740932642487045,0.8393501805054152,27.39213179991002,3.0157972234518735,1.3185654008438852,0.4098101265822785,0.39662447257383965,0.5204918032786885,0.8465703971119134,0.42164781906300486
S3,AI 上报加透明反馈加差异化激励,16,20260914,976,1127,799,266,200,62,661,27,0.7089618456078084,0.29103815439219166,0.859304084720121,27.059252167341803,2.9992197038327335,0.3691983122362852,0.4762658227848101,0.47257383966244726,0.6137295081967213,0.8729198184568835,0.4862681744749596
S0,现状基准,17,20260914,991,283,145,126,0,12,157,14,0.5123674911660777,0.4876325088339223,0.6815286624203821,55.4923551609366,8.08973743244706,1.457195463158263,0.12423738214087632,0.10966542750929369,0.14631685166498487,0.8089171974522293,0.14383561643835616
S1,AI 上报,17,20260914,991,643,483,144,83,16,416,28,0.7511664074650077,0.24883359253499224,0.8485576923076923,32.80332567189822,2.981479955731228,5.495693876583227,0.2872989462007765,0.23234200743494424,0.4036326942482341,0.8461538461538461,0.2585616438356164
S2,AI 上报加透明反馈,17,20260914,991,925,657,226,143,42,556,42,0.7102702702702702,0.2897297297297297,0.8758992805755396,27.366600422175807,2.9983919307276814,0.864008148336004,0.3971159179145868,0.38847583643122674,0.5186680121089808,0.8812949640287769,0.4092465753424658
